iter	Passed	Remaining
0	302	302271
1	306	152797
2	309	102992
3	313	78041
4	317	63155
5	324	53686
6	331	47018
7	336	41700
8	339	37347
9	341	33832
10	347	31245
11	350	28822
12	352	26749
13	353	24912
14	355	23320
15	356	21937
16	359	20774
17	360	19678
18	361	18688
19	363	17800
20	364	16995
21	365	16263
22	367	15594
23	368	14994
24	370	14437
25	373	13988
26	374	13504
27	376	13052
28	377	12632
29	378	12240
30	379	11874
31	381	11530
32	382	11207
33	383	10904
34	386	10664
35	388	10395
36	389	10137
37	390	9894
38	392	9662
39	393	9441
40	394	9231
41	395	9031
42	397	8842
43	398	8662
44	402	8534
45	403	8367
46	404	8206
47	406	8052
48	407	7906
49	408	7764
50	409	7627
51	412	7516
52	417	7459
53	419	7350
54	421	7249
55	423	7147
56	425	7043
57	432	7025
58	435	6947
59	442	6936
60	445	6852
61	447	6767
62	449	6680
63	451	6598
64	452	6514
65	457	6472
66	459	6405
67	461	6321
68	463	6249
69	464	6173
70	466	6102
71	467	6029
72	469	5956
73	471	5903
74	473	5841
75	474	5774
76	476	5709
77	477	5645
78	478	5583
79	480	5522
80	481	5463
81	482	5404
82	484	5349
83	487	5317
84	488	5259
85	489	5206
86	490	5150
87	492	5099
88	493	5050
89	494	5002
90	496	4955
91	497	4909
92	498	4864
93	501	4838
94	503	4796
95	504	4755
96	506	4714
97	508	4675
98	509	4640
99	511	4602
100	512	4565
101	513	4521
102	516	4493
103	517	4457
104	519	4424
105	520	4391
106	522	4359
107	524	4329
108	525	4295
109	526	4262
110	528	4231
111	530	4202
112	531	4172
113	532	4140
114	534	4109
115	535	4078
116	536	4048
117	537	4020
118	539	3991
119	540	3966
120	542	3938
121	543	3911
122	544	3883
123	545	3856
124	547	3832
125	549	3808
126	550	3783
127	551	3755
128	552	3730
129	554	3710
130	556	3690
131	557	3668
132	559	3647
133	560	3625
134	562	3602
135	563	3580
136	565	3560
137	566	3537
138	567	3516
139	569	3495
140	570	3474
141	571	3454
142	572	3433
143	574	3415
144	576	3397
145	577	3379
146	579	3362
147	580	3344
148	582	3326
149	584	3309
150	585	3292
151	587	3275
152	588	3258
153	590	3242
154	591	3226
155	593	3210
156	594	3194
157	596	3179
158	597	3162
159	599	3145
160	600	3129
161	601	3113
162	603	3097
163	604	3082
164	606	3067
165	607	3051
166	608	3036
167	610	3021
168	611	3006
169	612	2991
170	614	2977
171	615	2962
172	616	2948
173	618	2934
174	619	2920
175	620	2906
176	622	2892
177	623	2879
178	624	2865
179	626	2852
180	626	2835
181	628	2822
182	629	2809
183	630	2796
184	631	2784
185	633	2771
186	634	2759
187	636	2747
188	637	2734
189	638	2722
190	639	2710
191	641	2698
192	642	2687
193	644	2678
194	646	2667
195	648	2658
196	650	2651
197	652	2642
198	654	2635
199	657	2628
200	659	2622
201	661	2613
202	663	2603
203	665	2597
204	667	2587
205	669	2578
206	670	2569
207	672	2561
208	674	2552
209	675	2542
210	677	2533
211	679	2524
212	680	2514
213	682	2505
214	683	2496
215	685	2487
216	686	2478
217	689	2472
218	690	2464
219	692	2455
220	694	2448
221	696	2439
222	697	2431
223	699	2423
224	701	2415
225	703	2408
226	704	2400
227	707	2394
228	709	2389
229	711	2382
230	713	2376
231	715	2367
232	716	2359
233	718	2352
234	720	2344
235	721	2336
236	723	2327
237	724	2320
238	726	2312
239	727	2304
240	730	2300
241	731	2292
242	733	2285
243	735	2278
244	737	2271
245	738	2262
246	739	2254
247	740	2246
248	742	2238
249	743	2230
250	744	2222
251	746	2214
252	747	2206
253	748	2199
254	750	2192
255	752	2187
256	754	2180
257	756	2175
258	758	2170
259	760	2164
260	762	2158
261	763	2151
262	765	2145
263	767	2139
264	768	2132
265	770	2126
266	772	2121
267	775	2116
268	777	2111
269	778	2105
270	780	2099
271	781	2092
272	783	2086
273	785	2080
274	786	2074
275	788	2068
276	789	2061
277	791	2056
278	793	2050
279	795	2044
280	796	2038
281	798	2031
282	799	2025
283	801	2019
284	802	2014
285	804	2008
286	806	2002
287	807	1996
288	809	1991
289	811	1985
290	812	1979
291	814	1973
292	815	1968
293	817	1962
294	819	1957
295	820	1951
296	822	1946
297	824	1941
298	825	1936
299	827	1930
300	829	1925
301	830	1919
302	832	1914
303	833	1909
304	835	1903
305	836	1898
306	838	1892
307	840	1888
308	841	1882
309	843	1877
310	845	1872
311	846	1866
312	848	1861
313	849	1856
314	851	1850
315	853	1846
316	854	1841
317	856	1836
318	858	1831
319	859	1826
320	860	1821
321	862	1816
322	863	1810
323	865	1805
324	867	1800
325	868	1795
326	870	1791
327	872	1786
328	873	1782
329	875	1777
330	877	1773
331	878	1768
332	880	1763
333	882	1759
334	883	1754
335	885	1750
336	887	1745
337	889	1741
338	890	1736
339	892	1732
340	893	1727
341	895	1723
342	897	1718
343	898	1713
344	900	1709
345	902	1705
346	903	1700
347	905	1696
348	906	1691
349	908	1687
350	909	1682
351	911	1677
352	912	1673
353	914	1668
354	916	1664
355	917	1660
356	919	1655
357	920	1651
358	922	1647
359	924	1643
360	925	1638
361	927	1634
362	928	1630
363	930	1625
364	932	1621
365	933	1617
366	935	1613
367	937	1609
368	938	1605
369	940	1600
